sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
Yale-TB211,712633,Streptococcus,Streptococcus sp. oral taxon 431,,395.0,75.7954,,96.0,18.4212,
Yale-TB211,2827834,"",Siphoviridae sp. ctJ0s2,,9.0,1.727,,2.0,0.3838,
Yale-TB211,294,Pseudomonas,Pseudomonas fluorescens,,543.0,104.195,,133.0,25.521,
Yale-TB211,1305738,Mycobacterium,Mycobacterium orygis,,5.0,0.9594,,38.0,7.2917,
Yale-TB211,490,Neisseria,Neisseria sicca,,418.0,80.2088,,819.0,157.156,
Yale-TB211,398694,Mycobacterium,Mycobacterium shinjukuense,,0,0,,2.0,0.3838,
Yale-TB211,712122,Actinomyces,Actinomyces sp. oral taxon 414,,21128.0,4054.19,,6206.0,1190.85,
Yale-TB211,1318,Streptococcus,Streptococcus parasanguinis,,3192.0,612.504,,4450.0,853.898,
Yale-TB211,1304,Streptococcus,Streptococcus salivarius,,6771.0,1299.27,,4883.0,936.985,
Yale-TB211,1379,Gemella,Gemella haemolysans,,3061.0,587.366,,1780.0,341.559,
Yale-TB211,1750,Arachnia,Arachnia propionica,,1032.0,198.027,,840.0,161.185,
Yale-TB211,137732,Granulicatella,Granulicatella elegans,,76.0,14.5834,,77.0,14.7753,
Yale-TB211,1689,Bifidobacterium,Bifidobacterium dentium,,535.0,102.66,,446.0,85.5816,
Yale-TB211,2047,Rothia,Rothia dentocariosa,,8671.0,1663.85,,6393.0,1226.73,
Yale-TB211,52773,Schaalia,Schaalia meyeri,,422.0,80.9763,,738.0,141.613,
Yale-TB211,1302,Streptococcus,Streptococcus gordonii,,14078.0,2701.39,,8998.0,1726.6,
Yale-TB211,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,6.0,1.1513,,29.0,5.5647,
Yale-TB211,47878,Pseudomonas,Pseudomonas azotoformans,,6.0,1.1513,,154.0,29.5506,
Yale-TB211,1573714,Pseudomonas,Pseudomonas sp. S04,,1.0,0.1919,,0,0,
Yale-TB211,729,Haemophilus,Haemophilus parainfluenzae,,249.0,47.7799,,208.0,39.9125,
Yale-TB211,296,Pseudomonas,Pseudomonas fragi,,4.0,0.7675,,2.0,0.3838,
Yale-TB211,1313,Streptococcus,Streptococcus pneumoniae,,2600.0,498.906,,10759.0,2064.51,
Yale-TB211,43990,Corynebacterium,Corynebacterium segmentosum,,6.0,1.1513,,0,0,
Yale-TB211,301,Pseudomonas,Pseudomonas oleovorans,,50.0,9.5944,,152.0,29.1668,
Yale-TB211,178339,Pauljensenia,Pauljensenia hongkongensis,,3991.0,765.821,,1179.0,226.235,
Yale-TB211,1404864,Bradyrhizobium,Bradyrhizobium cosmicum,,0,0,,1.0,0.1919,
Yale-TB211,727,Haemophilus,Haemophilus influenzae,,12.0,2.3026,,23.0,4.4134,
Yale-TB211,1659,Actinomyces,Actinomyces israelii,,27804.0,5335.23,,16008.0,3071.73,
Yale-TB211,47671,Lautropia,Lautropia mirabilis,,125.0,23.9859,,85.0,16.3104,
Yale-TB211,2056231,Pseudomonas,Pseudomonas qingdaonensis,,24.0,4.6053,,1.0,0.1919,
Yale-TB211,2610896,Streptococcus,Streptococcus sp. LPB0220,,2136.0,409.871,,41.0,7.8674,
Yale-TB211,28131,Prevotella,Prevotella intermedia,,410.0,78.6737,,294.0,56.4148,
Yale-TB211,470565,Prevotella,Prevotella histicola,,96.0,18.4212,,118.0,22.6427,
Yale-TB211,712435,Porphyromonas,Porphyromonas sp. oral taxon 275,,116.0,22.2589,,5.0,0.9594,
Yale-TB211,2025658,Pseudomonas,Pseudomonas sp. NS1(2017),,2.0,0.3838,,0,0,
Yale-TB211,615,Serratia,Serratia marcescens,,2.0,0.3838,,3.0,0.5757,
Yale-TB211,28132,Prevotella,Prevotella melaninogenica,,571.0,109.568,,251.0,48.1637,
Yale-TB211,39778,Veillonella,Veillonella dispar,,323.0,61.9795,,127.0,24.3697,
Yale-TB211,1852377,Actinomyces,Actinomyces pacaensis,,32.0,6.1404,,0,0,
Yale-TB211,573,Klebsiella,Klebsiella pneumoniae,,59.0,11.3213,,2424.0,465.134,
Yale-TB211,1656,Actinomyces,Actinomyces viscosus,,5013.0,961.93,,25271.0,4849.18,
Yale-TB213,1318,Streptococcus,Streptococcus parasanguinis,,5600.0,577.532,,10213.0,1053.27,
Yale-TB213,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,1.0,0.1031,,4.0,0.4125,
Yale-TB213,712633,Streptococcus,Streptococcus sp. oral taxon 431,,1580.0,162.947,,176.0,18.151,
Yale-TB213,1747,Cutibacterium,Cutibacterium acnes,,114.0,11.7569,,100.0,10.3131,
Yale-TB213,78331,Mycobacterium,Mycobacterium canetti,,85.0,8.7661,,106.0,10.9319,
Yale-TB213,398694,Mycobacterium,Mycobacterium shinjukuense,,0,0,,9.0,0.9282,
Yale-TB213,2715960,Bradyrhizobium,Bradyrhizobium sp. PSBB068,,2.0,0.2063,,0,0,
Yale-TB213,1303,Streptococcus,Streptococcus oralis,,5021.0,517.82,,5302.0,546.799,
Yale-TB213,488,Neisseria,Neisseria mucosa,,136.0,14.0258,,31.0,3.1971,
Yale-TB213,1177574,Prevotella,Prevotella jejuni,,10743.0,1107.93,,3687.0,380.243,
Yale-TB213,1313,Streptococcus,Streptococcus pneumoniae,,6815.0,702.836,,13378.0,1379.68,
Yale-TB213,1689,Bifidobacterium,Bifidobacterium dentium,,10.0,1.0313,,47.0,4.8472,
Yale-TB213,38284,Corynebacterium,Corynebacterium accolens,,6.0,0.6188,,1.0,0.1031,
Yale-TB213,28037,Streptococcus,Streptococcus mitis,,25758.0,2656.44,,15623.0,1611.21,
Yale-TB213,172042,Rothia,Rothia aeria,,392.0,40.4273,,846.0,87.2486,
Yale-TB213,2610896,Streptococcus,Streptococcus sp. LPB0220,,4760.0,490.902,,124.0,12.7882,
Yale-TB213,287,Pseudomonas,Pseudomonas aeruginosa,,0,0,,94.0,9.6943,
Yale-TB213,55565,Actinomyces,Actinomyces graevenitzii,,1343.0,138.505,,1181.0,121.797,
Yale-TB213,2827834,"",Siphoviridae sp. ctJ0s2,,24.0,2.4751,,4.0,0.4125,
Yale-TB213,1056807,Morococcus,Morococcus cerebrosus,,4.0,0.4125,,4.0,0.4125,
Yale-TB213,727,Haemophilus,Haemophilus influenzae,,79.0,8.1473,,229.0,23.6169,
Yale-TB213,28151,Serratia,Serratia proteamaculans,,0,0,,123.0,12.6851,
Yale-TB213,47878,Pseudomonas,Pseudomonas azotoformans,,1.0,0.1031,,0,0,
Yale-TB213,178339,Pauljensenia,Pauljensenia hongkongensis,,770.0,79.4107,,97.0,10.0037,
Yale-TB213,28132,Prevotella,Prevotella melaninogenica,,5592.0,576.707,,3268.0,337.031,
Yale-TB213,137732,Granulicatella,Granulicatella elegans,,271.0,27.9484,,169.0,17.4291,
Yale-TB213,29466,Veillonella,Veillonella parvula,,3006.0,310.011,,1426.0,147.064,
Yale-TB213,712435,Porphyromonas,Porphyromonas sp. oral taxon 275,,296.0,30.5267,,4.0,0.4125,
Yale-TB213,484,Neisseria,Neisseria flavescens,,10.0,1.0313,,75.0,7.7348,
Yale-TB213,729,Haemophilus,Haemophilus parainfluenzae,,1335.0,137.68,,910.0,93.849,
Yale-TB213,47671,Lautropia,Lautropia mirabilis,,1923.0,198.32,,1580.0,162.947,
Yale-TB213,1750,Arachnia,Arachnia propionica,,925.0,95.396,,760.0,78.3794,
Yale-TB213,158836,Enterobacter,Enterobacter hormaechei,,32.0,3.3002,,140.0,14.4383,
Yale-TB213,1852377,Actinomyces,Actinomyces pacaensis,,1113.0,114.785,,12.0,1.2376,
Yale-TB213,1655,Actinomyces,Actinomyces naeslundii,,7078.0,729.96,,11195.0,1154.55,
Yale-TB213,52773,Schaalia,Schaalia meyeri,,2442.0,251.845,,586.0,60.4346,
Yale-TB213,470565,Prevotella,Prevotella histicola,,890.0,91.7864,,1218.0,125.613,
Yale-TB213,2056231,Pseudomonas,Pseudomonas qingdaonensis,,2.0,0.2063,,0,0,
Yale-TB213,3049954,Orthopneumovirus,Orthopneumovirus hominis,,6.0,0.6188,,6.0,0.6188,
Yale-TB213,43675,Rothia,Rothia mucilaginosa,,14807.0,1527.06,,8148.0,840.309,
Yale-TB213,28449,Neisseria,Neisseria subflava,,288.0,29.7017,,219.0,22.5856,
Yale-TB213,641148,Neisseria,Neisseria sp. oral taxon 014,,5.0,0.5157,,3.0,0.3094,
Yale-TB213,548,Klebsiella,Klebsiella aerogenes,,10.0,1.0313,,33.0,3.4033,
Yale-TB213,2047,Rothia,Rothia dentocariosa,,672.0,69.3039,,652.0,67.2413,
Yale-TB213,28131,Prevotella,Prevotella intermedia,,1753.0,180.788,,835.0,86.1142,
Yale-TB213,39778,Veillonella,Veillonella dispar,,1092.0,112.619,,322.0,33.2081,
Yale-TB213,712623,Streptococcus,Streptococcus sp. oral taxon 061,,1419.0,146.343,,103.0,10.6225,
Yale-TB213,1302,Streptococcus,Streptococcus gordonii,,679.0,70.0258,,505.0,52.081,
Yale-TB213,1656,Actinomyces,Actinomyces viscosus,,2024.0,208.737,,5644.0,582.07,
Yale-TB213,1660,Schaalia,Schaalia odontolytica,,49827.0,5138.7,,10768.0,1110.51,
Yale-TB213,216816,Bifidobacterium,Bifidobacterium longum,,35.0,3.6096,,20.0,2.0626,
Yale-TB213,294,Pseudomonas,Pseudomonas fluorescens,,0,0,,6.0,0.6188,
Yale-TB213,490,Neisseria,Neisseria sicca,,34.0,3.5065,,30.0,3.0939,
Yale-TB213,573,Klebsiella,Klebsiella pneumoniae,,32.0,3.3002,,431.0,44.4494,
Yale-TB213,544580,Actinomyces,Actinomyces oris,,58279.0,6010.36,,54485.0,5619.08,
Yale-TB213,2789425,Actinomyces,Actinomyces sp. HMT 175,,2393.0,246.792,,344.0,35.477,
Yale-TB213,2832643,"",Caudoviricetes sp.,,10192.0,1051.11,,8367.0,862.895,
Yale-TB213,615,Serratia,Serratia marcescens,,50765.0,5235.43,,38314.0,3951.35,
Yale-TB213,1379,Gemella,Gemella haemolysans,,1417.0,146.136,,1016.0,104.781,
Yale-TB213,77133,"",uncultured bacterium,,428.0,44.14,,202.0,20.8324,
Yale-TB213,712122,Actinomyces,Actinomyces sp. oral taxon 414,,20989.0,2164.61,,4539.0,468.111,
Yale-TB213,1304,Streptococcus,Streptococcus salivarius,,19668.0,2028.38,,13207.0,1362.05,
Yale-TB213,1659,Actinomyces,Actinomyces israelii,,4415.0,455.322,,1104.0,113.856,
Yale-TB213,1773,Mycobacterium,Mycobacterium tuberculosis,,25922.0,2673.36,,25547.0,2634.68,
Yale-TB213,706438,Actinomyces,Actinomyces sp. oral taxon 171,,7234.0,746.048,,3049.0,314.446,
Yale-TB213,712116,Actinomyces,Actinomyces sp. oral taxon 169,,24405.0,2516.91,,3349.0,345.385,
Yale-TB213,1305738,Mycobacterium,Mycobacterium orygis,,2.0,0.2063,,7.0,0.7219,
Yale-TB191,1303,Streptococcus,Streptococcus oralis,,96.0,9.5704,,67.0,6.6794,
Yale-TB191,2789425,Actinomyces,Actinomyces sp. HMT 175,,43.0,4.2868,,4.0,0.3988,
Yale-TB191,488,Neisseria,Neisseria mucosa,,245.0,24.4245,,56.0,5.5827,
Yale-TB191,1656,Actinomyces,Actinomyces viscosus,,11.0,1.0966,,14.0,1.3957,
Yale-TB191,727,Haemophilus,Haemophilus influenzae,,231.0,23.0288,,186.0,18.5427,
Yale-TB191,1689,Bifidobacterium,Bifidobacterium dentium,,10.0,0.9969,,10.0,0.9969,
Yale-TB191,712435,Porphyromonas,Porphyromonas sp. oral taxon 275,,95.0,9.4707,,9.0,0.8972,
Yale-TB191,1177574,Prevotella,Prevotella jejuni,,104.0,10.368,,15.0,1.4954,
Yale-TB191,1318,Streptococcus,Streptococcus parasanguinis,,113.0,11.2652,,146.0,14.555,
Yale-TB191,706438,Actinomyces,Actinomyces sp. oral taxon 171,,22.0,2.1932,,6.0,0.5982,
Yale-TB191,712116,Actinomyces,Actinomyces sp. oral taxon 169,,27.0,2.6917,,5.0,0.4985,
Yale-TB191,77133,"",uncultured bacterium,,50.0,4.9846,,10.0,0.9969,
Yale-TB191,490,Neisseria,Neisseria sicca,,112.0,11.1655,,155.0,15.4522,
Yale-TB191,1379,Gemella,Gemella haemolysans,,6.0,0.5982,,3.0,0.2991,
Yale-TB191,480,Moraxella,Moraxella catarrhalis,,56.0,5.5827,,48.0,4.7852,
Yale-TB191,573,Klebsiella,Klebsiella pneumoniae,,12.0,1.1963,,20.0,1.9938,
Yale-TB191,712633,Streptococcus,Streptococcus sp. oral taxon 431,,43.0,4.2868,,4.0,0.3988,
Yale-TB191,2832643,"",Caudoviricetes sp.,,452.0,45.0607,,334.0,33.2971,
Yale-TB191,1773,Mycobacterium,Mycobacterium tuberculosis,,164.0,16.3495,,171.0,17.0473,
Yale-TB191,43675,Rothia,Rothia mucilaginosa,,407.0,40.5746,,234.0,23.3279,
Yale-TB191,641148,Neisseria,Neisseria sp. oral taxon 014,,53.0,5.2837,,18.0,1.7945,
Yale-TB191,712623,Streptococcus,Streptococcus sp. oral taxon 061,,36.0,3.5889,,0,0,
Yale-TB191,1659,Actinomyces,Actinomyces israelii,,55.0,5.4831,,19.0,1.8942,
Yale-TB191,28037,Streptococcus,Streptococcus mitis,,363.0,36.1881,,213.0,21.2344,
Yale-TB191,172042,Rothia,Rothia aeria,,32.0,3.1901,,25.0,2.4923,
Yale-TB191,178339,Pauljensenia,Pauljensenia hongkongensis,,16.0,1.5951,,0,0,
Yale-TB191,39778,Veillonella,Veillonella dispar,,49.0,4.8849,,8.0,0.7975,
Yale-TB191,1313,Streptococcus,Streptococcus pneumoniae,,188.0,18.7421,,363.0,36.1881,
Yale-TB191,1750,Arachnia,Arachnia propionica,,6.0,0.5982,,4.0,0.3988,
Yale-TB191,29466,Veillonella,Veillonella parvula,,25.0,2.4923,,8.0,0.7975,
Yale-TB191,55565,Actinomyces,Actinomyces graevenitzii,,109.0,10.8664,,92.0,9.1717,
Yale-TB191,2047,Rothia,Rothia dentocariosa,,24.0,2.3926,,18.0,1.7945,
Yale-TB191,1655,Actinomyces,Actinomyces naeslundii,,350.0,34.8921,,284.0,28.3125,
Yale-TB191,2827834,"",Siphoviridae sp. ctJ0s2,,8.0,0.7975,,0,0,
Yale-TB191,1747,Cutibacterium,Cutibacterium acnes,,2.0,0.1994,,0,0,
Yale-TB191,137732,Granulicatella,Granulicatella elegans,,34.0,3.3895,,19.0,1.8942,
Yale-TB191,216816,Bifidobacterium,Bifidobacterium longum,,32.0,3.1901,,22.0,2.1932,
Yale-TB191,544580,Actinomyces,Actinomyces oris,,261.0,26.0196,,251.0,25.0227,
Yale-TB191,484,Neisseria,Neisseria flavescens,,16.0,1.5951,,61.0,6.0812,
Yale-TB191,1056807,Morococcus,Morococcus cerebrosus,,102.0,10.1686,,21.0,2.0935,
Yale-TB191,2610896,Streptococcus,Streptococcus sp. LPB0220,,39.0,3.888,,0,0,
Yale-TB191,287,Pseudomonas,Pseudomonas aeruginosa,,0,0,,3.0,0.2991,
Yale-TB191,1302,Streptococcus,Streptococcus gordonii,,22.0,2.1932,,11.0,1.0966,
Yale-TB191,158836,Enterobacter,Enterobacter hormaechei,,0,0,,6.0,0.5982,
Yale-TB191,712122,Actinomyces,Actinomyces sp. oral taxon 414,,152.0,15.1532,,32.0,3.1901,
Yale-TB191,3049954,Orthopneumovirus,Orthopneumovirus hominis,,2.0,0.1994,,2.0,0.1994,
Yale-TB191,1660,Schaalia,Schaalia odontolytica,,876.0,87.3301,,156.0,15.5519,
Yale-TB191,52773,Schaalia,Schaalia meyeri,,62.0,6.1809,,22.0,2.1932,
Yale-TB191,78331,Mycobacterium,Mycobacterium canetti,,0,0,,2.0,0.1994,
Yale-TB191,28131,Prevotella,Prevotella intermedia,,75.0,7.4769,,46.0,4.5858,
Yale-TB191,28132,Prevotella,Prevotella melaninogenica,,218.0,21.7328,,91.0,9.072,
Yale-TB191,470565,Prevotella,Prevotella histicola,,45.0,4.4861,,42.0,4.1871,
Yale-TB191,47671,Lautropia,Lautropia mirabilis,,373.0,37.1851,,332.0,33.0977,
Yale-TB191,1304,Streptococcus,Streptococcus salivarius,,191.0,19.0411,,93.0,9.2713,
Yale-TB191,729,Haemophilus,Haemophilus parainfluenzae,,161.0,16.0504,,96.0,9.5704,
Yale-TB191,28449,Neisseria,Neisseria subflava,,318.0,31.702,,224.0,22.331,
Yale-TB191,1852377,Actinomyces,Actinomyces pacaensis,,35.0,3.4892,,0,0,
Yale-TB197,1318,Streptococcus,Streptococcus parasanguinis,,728.0,78.7883,,1185.0,128.247,
Yale-TB197,1655,Actinomyces,Actinomyces naeslundii,,242.0,26.1906,,431.0,46.6452,
Yale-TB197,216778,Stenotrophomonas,Stenotrophomonas rhizophila,,2.0,0.2165,,0,0,
Yale-TB197,1379,Gemella,Gemella haemolysans,,357.0,38.6365,,245.0,26.5153,
Yale-TB197,729,Haemophilus,Haemophilus parainfluenzae,,6677.0,722.622,,4254.0,460.392,
Yale-TB197,1304,Streptococcus,Streptococcus salivarius,,550.0,59.5241,,356.0,38.5283,
Yale-TB197,28132,Prevotella,Prevotella melaninogenica,,9356.0,1012.56,,4273.0,462.448,
Yale-TB197,1177574,Prevotella,Prevotella jejuni,,2370.0,256.495,,759.0,82.1432,
Yale-TB197,727,Haemophilus,Haemophilus influenzae,,353.0,38.2036,,829.0,89.719,
Yale-TB197,216816,Bifidobacterium,Bifidobacterium longum,,818.0,88.5286,,798.0,86.364,
Yale-TB197,548,Klebsiella,Klebsiella aerogenes,,2.0,0.2165,,12.0,1.2987,
Yale-TB197,1303,Streptococcus,Streptococcus oralis,,1969.0,213.096,,1849.0,200.109,
Yale-TB197,2832643,"",Caudoviricetes sp.,,10341.0,1119.16,,6254.0,676.843,
Yale-TB197,615,Serratia,Serratia marcescens,,2.0,0.2165,,0,0,
Yale-TB197,1750,Arachnia,Arachnia propionica,,189.0,20.4546,,118.0,12.7706,
Yale-TB197,2047,Rothia,Rothia dentocariosa,,505.0,54.6539,,490.0,53.0306,
Yale-TB197,301,Pseudomonas,Pseudomonas oleovorans,,4.0,0.4329,,0,0,
Yale-TB197,480,Moraxella,Moraxella catarrhalis,,7943.0,859.636,,6717.0,726.952,
Yale-TB197,1656,Actinomyces,Actinomyces viscosus,,88.0,9.5239,,128.0,13.8529,
Yale-TB197,43675,Rothia,Rothia mucilaginosa,,8282.0,896.325,,5131.0,555.306,
Yale-TB197,137732,Granulicatella,Granulicatella elegans,,503.0,54.4375,,349.0,37.7707,
Yale-TB197,712122,Actinomyces,Actinomyces sp. oral taxon 414,,109.0,11.7966,,22.0,2.381,
Yale-TB197,38284,Corynebacterium,Corynebacterium accolens,,1.0,0.1082,,1.0,0.1082,
Yale-TB197,1660,Schaalia,Schaalia odontolytica,,20971.0,2269.6,,4004.0,433.335,
Yale-TB197,28037,Streptococcus,Streptococcus mitis,,6732.0,728.575,,4256.0,460.608,
Yale-TB197,1056807,Morococcus,Morococcus cerebrosus,,1229.0,133.009,,333.0,36.0391,
Yale-TB197,77133,"",uncultured bacterium,,641.0,69.3726,,120.0,12.9871,
Yale-TB197,712116,Actinomyces,Actinomyces sp. oral taxon 169,,528.0,57.1431,,76.0,8.2252,
Yale-TB197,641148,Neisseria,Neisseria sp. oral taxon 014,,529.0,57.2514,,176.0,19.0477,
Yale-TB197,712633,Streptococcus,Streptococcus sp. oral taxon 431,,630.0,68.1821,,81.0,8.7663,
Yale-TB197,158836,Enterobacter,Enterobacter hormaechei,,6.0,0.6494,,24.0,2.5974,
Yale-TB197,712435,Porphyromonas,Porphyromonas sp. oral taxon 275,,4648.0,503.033,,470.0,50.866,
Yale-TB197,172042,Rothia,Rothia aeria,,379.0,41.0175,,566.0,61.2557,
Yale-TB197,47671,Lautropia,Lautropia mirabilis,,2567.0,277.815,,1978.0,214.07,
Yale-TB197,3049954,Orthopneumovirus,Orthopneumovirus hominis,,10.0,1.0823,,10.0,1.0823,
Yale-TB197,287,Pseudomonas,Pseudomonas aeruginosa,,10.0,1.0823,,17.0,1.8398,
Yale-TB197,1659,Actinomyces,Actinomyces israelii,,65.0,7.0347,,15.0,1.6234,
Yale-TB197,52773,Schaalia,Schaalia meyeri,,1208.0,130.737,,242.0,26.1906,
Yale-TB197,398694,Mycobacterium,Mycobacterium shinjukuense,,2.0,0.2165,,2.0,0.2165,
Yale-TB197,489632,Pseudomonas,Pseudomonas chengduensis,,2.0,0.2165,,0,0,
Yale-TB197,294,Pseudomonas,Pseudomonas fluorescens,,48.0,5.1948,,0,0,
Yale-TB197,329,Ralstonia,Ralstonia pickettii,,2.0,0.2165,,0,0,
Yale-TB197,648,Aeromonas,Aeromonas caviae,,4.0,0.4329,,0,0,
Yale-TB197,40324,Stenotrophomonas,Stenotrophomonas maltophilia,,3.0,0.3247,,5.0,0.5411,
Yale-TB197,78331,Mycobacterium,Mycobacterium canetti,,1.0,0.1082,,6.0,0.6494,
Yale-TB197,1852377,Actinomyces,Actinomyces pacaensis,,2097.0,226.949,,7.0,0.7576,
Yale-TB197,2827834,"",Siphoviridae sp. ctJ0s2,,273.0,29.5456,,5.0,0.5411,
Yale-TB197,1302,Streptococcus,Streptococcus gordonii,,433.0,46.8617,,272.0,29.4374,
Yale-TB197,1747,Cutibacterium,Cutibacterium acnes,,63.0,6.8182,,59.0,6.3853,
Yale-TB197,1773,Mycobacterium,Mycobacterium tuberculosis,,1116.0,120.78,,1363.0,147.512,
Yale-TB197,28449,Neisseria,Neisseria subflava,,4443.0,480.846,,3266.0,353.465,
Yale-TB197,470565,Prevotella,Prevotella histicola,,2096.0,226.841,,2122.0,229.655,
Yale-TB197,2610896,Streptococcus,Streptococcus sp. LPB0220,,316.0,34.1993,,5.0,0.5411,
Yale-TB197,1859,Frankia,Frankia alni,,0,0,,1.0,0.1082,
Yale-TB197,544580,Actinomyces,Actinomyces oris,,2005.0,216.992,,1798.0,194.59,
Yale-TB197,1689,Bifidobacterium,Bifidobacterium dentium,,53.0,5.736,,44.0,4.7619,
Yale-TB197,190721,Ralstonia,Ralstonia insidiosa,,3.0,0.3247,,0,0,
Yale-TB197,484,Neisseria,Neisseria flavescens,,751.0,81.2774,,1496.0,161.906,
Yale-TB197,488,Neisseria,Neisseria mucosa,,8212.0,888.749,,2363.0,255.737,
Yale-TB197,1313,Streptococcus,Streptococcus pneumoniae,,1987.0,215.044,,4476.0,484.418,
Yale-TB197,29466,Veillonella,Veillonella parvula,,696.0,75.325,,339.0,36.6885,
Yale-TB197,55565,Actinomyces,Actinomyces graevenitzii,,4811.0,520.673,,4500.0,487.015,
Yale-TB197,712623,Streptococcus,Streptococcus sp. oral taxon 061,,940.0,101.732,,17.0,1.8398,
Yale-TB197,303,Pseudomonas,Pseudomonas putida,,1.0,0.1082,,0,0,
Yale-TB197,178339,Pauljensenia,Pauljensenia hongkongensis,,408.0,44.1561,,48.0,5.1948,
Yale-TB197,706438,Actinomyces,Actinomyces sp. oral taxon 171,,299.0,32.3595,,107.0,11.5801,
Yale-TB197,2789425,Actinomyces,Actinomyces sp. HMT 175,,295.0,31.9266,,40.0,4.329,
Yale-TB197,490,Neisseria,Neisseria sicca,,2290.0,247.837,,3597.0,389.288,
Yale-TB197,573,Klebsiella,Klebsiella pneumoniae,,432.0,46.7535,,432.0,46.7535,
Yale-TB197,28131,Prevotella,Prevotella intermedia,,7334.0,793.727,,5363.0,580.414,
Yale-TB197,39778,Veillonella,Veillonella dispar,,924.0,100.0,,208.0,22.5109,
Yale-TB210,137732,Granulicatella,Granulicatella elegans,,0,0,,4.0,0.4654,
Yale-TB210,470565,Prevotella,Prevotella histicola,,357.0,41.5354,,284.0,33.0422,
Yale-TB210,28132,Prevotella,Prevotella melaninogenica,,119.0,13.8451,,61.0,7.0971,
Yale-TB210,47878,Pseudomonas,Pseudomonas azotoformans,,820.0,95.4035,,112.0,13.0307,
Yale-TB210,1852377,Actinomyces,Actinomyces pacaensis,,52.0,6.05,,0,0,
