strain	study	continent	region	lineage	spoligotype	res_profile	INH	STR	RIF	EMB	ETH	PZA	OFL	KAN	num_res	country	date
ERR552358	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR552479	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Kazakhstan	2002-XX-XX
ERR552907	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR552939	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uzbekistan	2005-XX-XX
ERR553068	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	1	1	1	1	1	0	0	6	Uzbekistan	2005-XX-XX
ERR553139	Merker et al., 2015	Asia	Central_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	Uzbekistan	2004-XX-XX
ERR036188	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	1995-XX-XX
ERR037486	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	1998-XX-XX
ERR038736	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM9	MDR	1	0	1	1	1	0	0	0	4	Uganda	2004-XX-XX
ERR038737	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	1	1	0	1	0	0	0	4	Uganda	2004-XX-XX
ERR038739	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	1	0	0	0	4	Uganda	2004-XX-XX
ERR038740	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	1	1	0	0	1	0	0	4	Uganda	2004-XX-XX
ERR038744	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	1	1	0	1	0	0	0	4	Uganda	2004-XX-XX
ERR038745	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	1	1	1	1	0	0	0	5	Uganda	2005-XX-XX
ERR038746	Clark et al., 2013	Africa	Eastern_Africa	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Uganda	2005-XX-XX
ERR038747	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T1	MDR	1	1	1	1	1	0	0	0	5	Uganda	2006-XX-XX
ERR038748	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	1	0	0	0	4	Uganda	2005-XX-XX
ERR038750	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2,T1,T2-uganda	MDR	1	1	1	1	0	0	0	0	4	Uganda	2005-XX-XX
ERR038752	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS2	MDR	1	1	1	1	0	0	0	0	4	Uganda	2006-XX-XX
ERR038753	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS2	MDR	1	1	1	1	0	0	0	0	4	Uganda	2006-XX-XX
ERR038754	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM3	MDR	1	0	1	1	0	1	0	0	4	Uganda	2006-XX-XX
ERR040115	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	X1,T1	MDR	1	1	1	1	0	0	0	0	4	Uganda	2003-XX-XX
ERR040118	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	0	1	1	0	0	0	0	3	Uganda	2003-XX-XX
ERR040120	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	1	0	0	0	0	3	Uganda	2003-XX-XX
ERR040121	Clark et al., 2013	Africa	Eastern_Africa	LIN-1	EAI5	MDR	1	1	1	0	0	0	0	0	3	Uganda	2004-XX-XX
ERR040122	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T1	MDR	1	0	1	0	0	0	0	0	2	Uganda	2003-XX-XX
ERR040123	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS2	MDR	1	1	1	1	0	0	0	0	4	Uganda	2004-XX-XX
ERR040124	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM3,T1,H3	MDR	1	0	1	0	0	0	0	0	2	Uganda	2005-XX-XX
ERR040125	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	0	1	0	0	4	Uganda	2004-XX-XX
ERR040126	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Kili	MDR	1	1	1	1	0	0	0	0	4	Uganda	2003-XX-XX
ERR040127	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	1	0	0	0	4	Uganda	2004-XX-XX
ERR040128	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM3,T1,H3	MDR	1	1	1	1	0	1	0	0	5	Uganda	2004-XX-XX
ERR040129	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	0	1	1	0	0	0	0	3	Uganda	2004-XX-XX
ERR040130	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM3,T1,H3	MDR	1	1	1	1	0	1	0	0	5	Uganda	2004-XX-XX
ERR040131	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	1	0	0	0	4	Uganda	2003-XX-XX
ERR040132	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T1	MDR	1	0	1	0	0	0	0	0	2	Uganda	2004-XX-XX
ERR040134	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	1	1	1	1	0	0	0	5	Uganda	2004-XX-XX
ERR040135	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T2,T1,T2-uganda	MDR	1	1	1	1	0	0	0	0	4	Uganda	2004-XX-XX
ERR040136	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	0	1	1	0	0	0	0	3	Uganda	2004-XX-XX
ERR040138	Clark et al., 2013	Africa	Eastern_Africa	LIN-4	T1	MDR	1	1	1	0	0	0	0	0	3	Uganda	2004-XX-XX
ERR040139	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	1	1	1	0	0	0	0	4	Uganda	2005-XX-XX
ERR040141	Clark et al., 2013	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	1	1	1	0	0	0	0	4	Uganda	2004-XX-XX
ERR163953	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	1	0	0	0	0	3	Malawi	2004-XX-XX
ERR163958	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	2004-XX-XX
ERR176629	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	1997-XX-XX
ERR181315	Blouin et al., 2012	Africa	Eastern_Africa	LIN-6	UNKNOWN	MDR	1	1	1	1	0	0	0	0	4	Somalia	2003-XX-XX
ERR181861	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	2009-XX-XX
ERR181986	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	2005-XX-XX
ERR190370	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	2003-XX-XX
ERR212021	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM4	MDR	1	0	1	0	0	0	0	0	2	Malawi	1998-XX-XX
ERR221616	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	1997-XX-XX
ERR221617	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	1998-XX-XX
ERR221618	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	0	0	0	0	2	Malawi	2000-XX-XX
ERR245741	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	1	0	0	0	0	3	Malawi	2008-XX-XX
ERR245747	Guerra-Assuncao et al., 2014	Africa	Eastern_Africa	LIN-3	CAS1-Delhi	MDR	1	1	1	1	0	0	0	0	4	Malawi	1997-XX-XX
PRJNA223537	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	0	1	0	0	0	3	Uganda	20XX-XX-XX
PRJNA223538	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	1	0	1	0	0	4	Uganda	20XX-XX-XX
PRJNA223542	TBARC.CDRC	Africa	Eastern_Africa	LIN-3	CAS2	MDR	1	1	1	0	0	0	0	0	3	Uganda	20XX-XX-XX
PRJNA223544	TBARC.CDRC	Africa	Eastern_Africa	LIN-3	ATYPIC	MDR	1	1	1	1	0	0	0	0	4	Uganda	20XX-XX-XX
PRJNA223551	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	ATYPIC	MDR	1	1	1	1	0	1	0	0	5	Uganda	20XX-XX-XX
PRJNA223553	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2	MDR	1	1	1	0	1	0	0	0	4	Uganda	20XX-XX-XX
PRJNA223558	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM9	MDR	1	0	1	1	0	0	0	0	3	Uganda	20XX-XX-XX
PRJNA223559	TBARC.CDRC	Africa	Eastern_Africa	LIN-1	EAI5	MDR	1	0	1	0	0	0	0	0	2	Uganda	20XX-XX-XX
PRJNA223564	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM3	MDR	1	0	1	1	0	1	0	0	4	Uganda	20XX-XX-XX
PRJNA223565	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM11-ZWE	MDR	1	0	1	1	1	0	0	0	4	Uganda	20XX-XX-XX
PRJNA223567	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM3	MDR	1	0	1	1	0	1	0	0	4	Uganda	20XX-XX-XX
PRJNA223568	TBARC.CDRC	Africa	Eastern_Africa	LIN-3	CAS2	MDR	1	1	1	1	0	0	0	0	4	Uganda	20XX-XX-XX
PRJNA223577	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2,T1,T2-uganda	MDR	1	1	1	0	0	0	0	0	3	Uganda	20XX-XX-XX
PRJNA223592	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2	MDR	1	1	1	1	0	0	0	0	4	Uganda	20XX-XX-XX
PRJNA223603	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	LAM1	MDR	1	0	1	0	0	0	0	0	2	Uganda	20XX-XX-XX
PRJNA233336	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2	MDR	1	1	1	1	0	0	0	0	4	Uganda	20XX-XX-XX
PRJNA233340	TBARC.CDRC	Africa	Eastern_Africa	LIN-4	T2	MDR	1	0	1	0	1	0	0	0	3	Uganda	20XX-XX-XX
ERR234107	Comas et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	20XX-XX-XX
ERR234115	Comas et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	20XX-XX-XX
ERR234124	Comas et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	20XX-XX-XX
PRJNA219760	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	South Korea	2005-XX-XX
PRJNA219761	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	ATYPIC	MDR	1	1	1	1	1	0	0	0	5	South Korea	2006-XX-XX
PRJNA219762	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	1	1	0	0	5	South Korea	2005-XX-XX
PRJNA219775	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	1	0	0	4	South Korea	2006-XX-XX
PRJNA219781	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	South Korea	2008-XX-XX
PRJNA219795	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	South Korea	2007-XX-XX
PRJNA219814	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	South Korea	2008-XX-XX
PRJNA219817	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	0	0	0	3	South Korea	2008-XX-XX
PRJNA226775	TBARC.CDRC	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	South Korea	2006-XX-XX
SRR671719	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671720	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671721	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671722	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671725	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	UNKNOWN	MDR	1	0	1	0	1	0	0	0	3	China	2006-XX-XX
SRR671727	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671731	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671732	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671733	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671734	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671735	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671736	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671738	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671739	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671742	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671743	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671744	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671745	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671746	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671748	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671749	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671752	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671753	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671754	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671755	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	China	2006-XX-XX
SRR671765	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671766	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671768	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671771	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671780	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671791	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	1	1	0	0	5	China	2006-XX-XX
SRR671795	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671798	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671801	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671806	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671809	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671811	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671816	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	1	0	0	4	China	2006-XX-XX
SRR671817	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	1	0	0	4	China	2006-XX-XX
SRR671818	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671820	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671829	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671831	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671834	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671837	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671838	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671840	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671841	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	China	2006-XX-XX
SRR671843	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671848	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
SRR671849	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	China	2006-XX-XX
SRR671850	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671851	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	China	2006-XX-XX
SRR671853	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T1	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671857	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	0	1	1	0	0	0	0	3	China	2006-XX-XX
SRR671861	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	UNKNOWN	MDR	1	0	1	0	1	0	0	0	3	China	2006-XX-XX
SRR671866	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	China	2006-XX-XX
SRR671868	Zhang et al., 2013	Asia	Eastern_Asia	LIN-4	T2	MDR	1	0	1	0	0	0	0	0	2	China	2006-XX-XX
SRR671869	Zhang et al., 2013	Asia	Eastern_Asia	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	China	2006-XX-XX
ERR015614	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	1	0	0	0	5	Russia	20XX-XX-XX
ERR067576	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067577	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	H3	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067578	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067583	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067587	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067590	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	Russia	2008-XX-XX
ERR067598	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	1	1	0	0	6	Russia	2009-XX-XX
ERR067599	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	LAM9	MDR	1	1	1	1	0	0	0	0	4	Russia	2009-XX-XX
ERR067603	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	H1	MDR	1	1	1	1	0	0	0	0	4	Russia	2008-XX-XX
ERR067609	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	H3	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067611	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	0	0	0	0	4	Russia	2008-XX-XX
ERR067613	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067620	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067621	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067622	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067623	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067625	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	1	0	0	0	4	Russia	2008-XX-XX
ERR067626	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	1	0	0	0	5	Russia	2008-XX-XX
ERR067627	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067629	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	H3	MDR	1	1	1	1	0	0	0	0	4	Russia	2008-XX-XX
ERR067630	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2008-XX-XX
ERR067641	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	1	0	1	0	0	5	Russia	2009-XX-XX
ERR067643	Casali et al., 2014	Europe	Eastern_Europe	LIN-2	Beijing	MDR	1	1	1	0	0	0	0	0	3	Russia	2009-XX-XX
ERR067645	Casali et al., 2014	Europe	Eastern_Europe	LIN-4	H3	MDR	1	1	1	0	0	0	0	0	3	Russia	2009-XX-XX
