,strain,study,continent,region,lineage,spoligotype,res_profile,INH,STR,RIF,EMB,ETH,PZA,OFL,KAN,num_res,country,date,Original_ID,Sample_Type,Sample_source,CT,starting_quant,Primer_Conc,NGS_Run_ID,numreads,covbases,coverage,meandepth,mykrobe_lineage,Template_dilution,Amikacin,Capreomycin,Ciprofloxacin,Delamanid,Levofloxacin,Linezolid,Moxifloxacin,NA
11,ERR551822,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ERR551945,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ERR552358,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ERR552479,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Kazakhstan,2002-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,ERR552907,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ERR552939,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,ERR553068,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,1,1,1,1,1,0,0,6,Uzbekistan,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,ERR553139,"Merker et al., 2015",Asia,Central_Asia,LIN-2,Beijing,MDR,1,0,1,0,0,0,0,0,2,Uzbekistan,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,ERR036188,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,1995-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,ERR037486,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,1998-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,ERR038736,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM9,MDR,1,0,1,1,1,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,ERR038737,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,1,1,0,1,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,ERR038739,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,1,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,ERR038740,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,1,1,0,0,1,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,ERR038744,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,1,1,0,1,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,ERR038745,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,1,1,1,1,0,0,0,5,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,ERR038746,"Clark et al., 2013",Africa,Eastern_Africa,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,ERR038747,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T1,MDR,1,1,1,1,1,0,0,0,5,Uganda,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,ERR038748,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,1,0,0,0,4,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,ERR038750,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"T2,T1,T2-uganda",MDR,1,1,1,1,0,0,0,0,4,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,ERR038752,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS2,MDR,1,1,1,1,0,0,0,0,4,Uganda,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,ERR038753,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS2,MDR,1,1,1,1,0,0,0,0,4,Uganda,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,ERR038754,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM3,MDR,1,0,1,1,0,1,0,0,4,Uganda,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,ERR040115,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"X1,T1",MDR,1,1,1,1,0,0,0,0,4,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,ERR040118,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,0,1,1,0,0,0,0,3,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,ERR040120,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,1,0,0,0,0,3,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,ERR040121,"Clark et al., 2013",Africa,Eastern_Africa,LIN-1,EAI5,MDR,1,1,1,0,0,0,0,0,3,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,ERR040122,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T1,MDR,1,0,1,0,0,0,0,0,2,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,ERR040123,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS2,MDR,1,1,1,1,0,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,ERR040124,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"LAM3,T1,H3",MDR,1,0,1,0,0,0,0,0,2,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,ERR040125,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,0,1,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,ERR040126,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Kili,MDR,1,1,1,1,0,0,0,0,4,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,ERR040127,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,1,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,ERR040128,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"LAM3,T1,H3",MDR,1,1,1,1,0,1,0,0,5,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,ERR040129,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,0,1,1,0,0,0,0,3,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,ERR040130,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"LAM3,T1,H3",MDR,1,1,1,1,0,1,0,0,5,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,ERR040131,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,1,0,0,0,4,Uganda,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,ERR040132,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T1,MDR,1,0,1,0,0,0,0,0,2,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,ERR040134,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,1,1,1,1,0,0,0,5,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,ERR040135,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,"T2,T1,T2-uganda",MDR,1,1,1,1,0,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,ERR040136,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,0,1,1,0,0,0,0,3,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,ERR040138,"Clark et al., 2013",Africa,Eastern_Africa,LIN-4,T1,MDR,1,1,1,0,0,0,0,0,3,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,ERR040139,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,1,1,1,0,0,0,0,4,Uganda,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,ERR040141,"Clark et al., 2013",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,1,1,1,0,0,0,0,4,Uganda,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,ERR163953,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,1,0,0,0,0,3,Malawi,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,ERR163958,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,2004-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,ERR176629,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,1997-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,ERR181315,"Blouin et al., 2012",Africa,Eastern_Africa,LIN-6,UNKNOWN,MDR,1,1,1,1,0,0,0,0,4,Somalia,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,ERR181861,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,2009-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,ERR181986,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,ERR190370,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,2003-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,ERR212021,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM4,MDR,1,0,1,0,0,0,0,0,2,Malawi,1998-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ERR221616,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,1997-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,ERR221617,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,1998-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,ERR221618,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,0,0,0,0,2,Malawi,2000-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,ERR245741,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,1,0,0,0,0,3,Malawi,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,ERR245747,"Guerra-Assuncao et al., 2014",Africa,Eastern_Africa,LIN-3,CAS1-Delhi,MDR,1,1,1,1,0,0,0,0,4,Malawi,1997-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,PRJNA223537,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,0,1,0,0,0,3,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,PRJNA223538,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,1,0,1,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,PRJNA223542,TBARC.CDRC,Africa,Eastern_Africa,LIN-3,CAS2,MDR,1,1,1,0,0,0,0,0,3,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,PRJNA223544,TBARC.CDRC,Africa,Eastern_Africa,LIN-3,ATYPIC,MDR,1,1,1,1,0,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,PRJNA223551,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,ATYPIC,MDR,1,1,1,1,0,1,0,0,5,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,PRJNA223553,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,T2,MDR,1,1,1,0,1,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,PRJNA223558,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM9,MDR,1,0,1,1,0,0,0,0,3,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,PRJNA223559,TBARC.CDRC,Africa,Eastern_Africa,LIN-1,EAI5,MDR,1,0,1,0,0,0,0,0,2,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,PRJNA223564,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM3,MDR,1,0,1,1,0,1,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,PRJNA223565,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM11-ZWE,MDR,1,0,1,1,1,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,PRJNA223567,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM3,MDR,1,0,1,1,0,1,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,PRJNA223568,TBARC.CDRC,Africa,Eastern_Africa,LIN-3,CAS2,MDR,1,1,1,1,0,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,PRJNA223577,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,"T2,T1,T2-uganda",MDR,1,1,1,0,0,0,0,0,3,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,PRJNA223592,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,T2,MDR,1,1,1,1,0,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,PRJNA223603,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,LAM1,MDR,1,0,1,0,0,0,0,0,2,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,PRJNA233336,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,T2,MDR,1,1,1,1,0,0,0,0,4,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,PRJNA233340,TBARC.CDRC,Africa,Eastern_Africa,LIN-4,T2,MDR,1,0,1,0,1,0,0,0,3,Uganda,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,ERR234107,"Comas et al., 2013",Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,1,1,0,0,0,0,0,3,China,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,ERR234115,"Comas et al., 2013",Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,1,1,0,0,0,0,0,3,China,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,ERR234124,"Comas et al., 2013",Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,0,1,0,0,0,0,0,2,China,20XX-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,PRJNA219760,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,1,1,1,0,0,0,0,4,South Korea,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,PRJNA219761,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,ATYPIC,MDR,1,1,1,1,1,0,0,0,5,South Korea,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,PRJNA219762,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,0,1,1,1,1,0,0,5,South Korea,2005-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,PRJNA219775,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,0,1,1,0,1,0,0,4,South Korea,2006-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,PRJNA219781,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,0,1,0,0,0,0,0,2,South Korea,2008-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,PRJNA219795,TBARC.CDRC,Asia,Eastern_Asia,LIN-2,Beijing,MDR,1,1,1,0,0,0,0,0,3,South Korea,2007-XX-XX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
