sample	name	start	end	depth
Yale-TB011	Rv3854c	4326003	4327548	0
Yale-TB015	MTB000019	1473245	1473331	152
Yale-TB015	MTB000020	1473657	1476796	80
Yale-TB015	Rv0005	6571	6762	41
Yale-TB015	Rv0006	7360	7583	823
Yale-TB015	Rv0407	490733	491794	111
Yale-TB015	Rv0667	760307	761286	829
Yale-TB015	Rv0676c	775585	778906	412
Yale-TB015	Rv0678	778906	779488	199
Yale-TB015	Rv0701	800793	801462	356
Yale-TB015	Rv1173	1302805	1305502	734
Yale-TB015	Rv1305	1460997	1461291	76
Yale-TB015	Rv1483	1673409	1675012	111
Yale-TB015	Rv1694	1917939	1918747	711
Yale-TB015	Rv1908c	2153888	2156112	175
Yale-TB015	Rv2043c	2288676	2289272	1470
Yale-TB015	Rv2416c	2714123	2715372	506
Yale-TB015	Rv2428	2726093	2726194	609
Yale-TB015	Rv2535c	2859299	2860451	160
Yale-TB015	Rv2983	3339068	3339763	929
Yale-TB015	Rv3261	3640493	3642882	171
Yale-TB015	Rv3547	3986794	3987300	573
Yale-TB015	Rv3795	4246586	4249653	213
Yale-TB015	Rv3854c	4326003	4327548	342
Yale-TB016	MTB000019	1473245	1473331	52
Yale-TB016	MTB000020	1473657	1476796	27
Yale-TB016	Rv0005	6571	6762	28
Yale-TB016	Rv0006	7360	7583	348
Yale-TB016	Rv0407	490733	491794	295
Yale-TB016	Rv0667	760307	761286	387
Yale-TB016	Rv0676c	775585	778906	134
Yale-TB016	Rv0678	778906	779488	41
Yale-TB016	Rv0701	800793	801462	83
Yale-TB016	Rv1173	1302805	1305502	411
Yale-TB016	Rv1305	1460997	1461291	29
Yale-TB016	Rv1483	1673409	1675012	115
Yale-TB016	Rv1694	1917939	1918747	246
Yale-TB016	Rv1908c	2153888	2156112	70
Yale-TB016	Rv2043c	2288676	2289272	564
Yale-TB016	Rv2416c	2714123	2715372	115
Yale-TB016	Rv2428	2726093	2726194	187
Yale-TB016	Rv2535c	2859299	2860451	48
Yale-TB016	Rv2983	3339068	3339763	255
Yale-TB016	Rv3261	3640493	3642882	99
Yale-TB016	Rv3547	3986794	3987300	243
Yale-TB016	Rv3795	4246586	4249653	196
Yale-TB016	Rv3854c	4326003	4327548	169
Yale-TB017	MTB000019	1473245	1473331	82
Yale-TB017	MTB000020	1473657	1476796	49
Yale-TB017	Rv0005	6571	6762	71
Yale-TB017	Rv0006	7360	7583	596
Yale-TB017	Rv0407	490733	491794	489
Yale-TB017	Rv0667	760307	761286	834
Yale-TB017	Rv0676c	775585	778906	291
Yale-TB017	Rv0678	778906	779488	85
Yale-TB017	Rv0701	800793	801462	172
Yale-TB017	Rv1173	1302805	1305502	1060
Yale-TB017	Rv1305	1460997	1461291	33
Yale-TB017	Rv1483	1673409	1675012	261
Yale-TB017	Rv1694	1917939	1918747	494
Yale-TB017	Rv1908c	2153888	2156112	121
Yale-TB017	Rv2043c	2288676	2289272	1053
Yale-TB017	Rv2416c	2714123	2715372	178
Yale-TB017	Rv2428	2726093	2726194	299
Yale-TB017	Rv2535c	2859299	2860451	80
Yale-TB017	Rv2983	3339068	3339763	334
Yale-TB017	Rv3261	3640493	3642882	162
Yale-TB017	Rv3547	3986794	3987300	351
Yale-TB017	Rv3795	4246586	4249653	273
Yale-TB017	Rv3854c	4326003	4327548	371
Yale-TB018	MTB000019	1473245	1473331	115
Yale-TB018	MTB000020	1473657	1476796	54
Yale-TB018	Rv0005	6571	6762	484
Yale-TB018	Rv0006	7360	7583	1055
Yale-TB018	Rv0407	490733	491794	1008
Yale-TB018	Rv0667	760307	761286	2022
Yale-TB018	Rv0676c	775585	778906	814
Yale-TB018	Rv0678	778906	779488	139
Yale-TB018	Rv0701	800793	801462	265
Yale-TB018	Rv1173	1302805	1305502	1918
Yale-TB018	Rv1305	1460997	1461291	72
Yale-TB018	Rv1483	1673409	1675012	922
Yale-TB018	Rv1694	1917939	1918747	958
Yale-TB018	Rv1908c	2153888	2156112	261
Yale-TB018	Rv2043c	2288676	2289272	2201
Yale-TB018	Rv2416c	2714123	2715372	342
Yale-TB018	Rv2428	2726093	2726194	419
Yale-TB018	Rv2535c	2859299	2860451	230
Yale-TB018	Rv2983	3339068	3339763	263
Yale-TB018	Rv3261	3640493	3642882	394
Yale-TB018	Rv3547	3986794	3987300	570
Yale-TB018	Rv3795	4246586	4249653	576
Yale-TB018	Rv3854c	4326003	4327548	1366
Yale-TB019	MTB000019	1473245	1473331	31
Yale-TB019	MTB000020	1473657	1476796	18
Yale-TB019	Rv0005	6571	6762	597
Yale-TB019	Rv0006	7360	7583	285
Yale-TB019	Rv0407	490733	491794	605
Yale-TB019	Rv0667	760307	761286	819
Yale-TB019	Rv0676c	775585	778906	365
Yale-TB019	Rv0678	778906	779488	49
Yale-TB019	Rv0701	800793	801462	92
Yale-TB019	Rv1173	1302805	1305502	518
Yale-TB019	Rv1305	1460997	1461291	33
Yale-TB019	Rv1483	1673409	1675012	532
Yale-TB019	Rv1694	1917939	1918747	273
Yale-TB019	Rv1908c	2153888	2156112	93
Yale-TB019	Rv2043c	2288676	2289272	492
Yale-TB019	Rv2416c	2714123	2715372	81
Yale-TB019	Rv2428	2726093	2726194	112
Yale-TB019	Rv2535c	2859299	2860451	112
Yale-TB019	Rv2983	3339068	3339763	50
Yale-TB019	Rv3261	3640493	3642882	132
Yale-TB019	Rv3547	3986794	3987300	128
Yale-TB019	Rv3795	4246586	4249653	152
Yale-TB019	Rv3854c	4326003	4327548	673
Yale-TB020	MTB000019	1473245	1473331	24
Yale-TB020	MTB000020	1473657	1476796	147
Yale-TB020	Rv0005	6571	6762	2005
Yale-TB020	Rv0006	7360	7583	108
Yale-TB020	Rv0407	490733	491794	160
Yale-TB020	Rv0667	760307	761286	145
Yale-TB020	Rv0676c	775585	778906	521
Yale-TB020	Rv0678	778906	779488	38
Yale-TB020	Rv0701	800793	801462	200
Yale-TB020	Rv1173	1302805	1305502	160
Yale-TB020	Rv1305	1460997	1461291	61
Yale-TB020	Rv1483	1673409	1675012	248
Yale-TB020	Rv1694	1917939	1918747	92
Yale-TB020	Rv1908c	2153888	2156112	62
Yale-TB020	Rv2043c	2288676	2289272	142
Yale-TB020	Rv2416c	2714123	2715372	20
Yale-TB020	Rv2428	2726093	2726194	91
Yale-TB020	Rv2535c	2859299	2860451	90
Yale-TB020	Rv2983	3339068	3339763	11
Yale-TB020	Rv3261	3640493	3642882	56
Yale-TB020	Rv3547	3986794	3987300	57
Yale-TB020	Rv3795	4246586	4249653	48
Yale-TB020	Rv3854c	4326003	4327548	235
Yale-TB021	MTB000019	1473245	1473331	23
Yale-TB021	MTB000020	1473657	1476796	9
Yale-TB021	Rv0005	6571	6762	197
Yale-TB021	Rv0006	7360	7583	23
Yale-TB021	Rv0407	490733	491794	12
Yale-TB021	Rv0667	760307	761286	21
Yale-TB021	Rv0676c	775585	778906	30
Yale-TB021	Rv0678	778906	779488	0
Yale-TB021	Rv0701	800793	801462	65
Yale-TB021	Rv1173	1302805	1305502	25
Yale-TB021	Rv1305	1460997	1461291	4
Yale-TB021	Rv1483	1673409	1675012	51
Yale-TB021	Rv1694	1917939	1918747	32
Yale-TB021	Rv1908c	2153888	2156112	6
Yale-TB021	Rv2043c	2288676	2289272	23
Yale-TB021	Rv2416c	2714123	2715372	4
Yale-TB021	Rv2428	2726093	2726194	6
Yale-TB021	Rv2535c	2859299	2860451	27
Yale-TB021	Rv2983	3339068	3339763	3
Yale-TB021	Rv3261	3640493	3642882	7
Yale-TB021	Rv3547	3986794	3987300	3
Yale-TB021	Rv3795	4246586	4249653	10
Yale-TB021	Rv3854c	4326003	4327548	33
Yale-TB022	MTB000019	1473245	1473331	6
Yale-TB022	MTB000020	1473657	1476796	3
Yale-TB022	Rv0005	6571	6762	178
Yale-TB022	Rv0006	7360	7583	3
Yale-TB022	Rv0407	490733	491794	8
Yale-TB022	Rv0667	760307	761286	8
Yale-TB022	Rv0676c	775585	778906	48
Yale-TB022	Rv0678	778906	779488	0
Yale-TB022	Rv0701	800793	801462	37
Yale-TB022	Rv1173	1302805	1305502	6
Yale-TB022	Rv1305	1460997	1461291	0
Yale-TB022	Rv1483	1673409	1675012	28
Yale-TB022	Rv1694	1917939	1918747	9
Yale-TB022	Rv1908c	2153888	2156112	2
Yale-TB022	Rv2043c	2288676	2289272	5
Yale-TB022	Rv2416c	2714123	2715372	1
Yale-TB022	Rv2428	2726093	2726194	5
Yale-TB022	Rv2535c	2859299	2860451	2
Yale-TB022	Rv2983	3339068	3339763	3
Yale-TB022	Rv3261	3640493	3642882	2
Yale-TB022	Rv3547	3986794	3987300	0
Yale-TB022	Rv3795	4246586	4249653	6
Yale-TB022	Rv3854c	4326003	4327548	6
Yale-TB023	MTB000019	1473245	1473331	0
Yale-TB023	MTB000020	1473657	1476796	3
Yale-TB023	Rv0005	6571	6762	0
Yale-TB023	Rv0006	7360	7583	0
Yale-TB023	Rv0407	490733	491794	0
Yale-TB023	Rv0667	760307	761286	0
Yale-TB023	Rv0676c	775585	778906	1
Yale-TB023	Rv0678	778906	779488	0
Yale-TB023	Rv0701	800793	801462	0
Yale-TB023	Rv1173	1302805	1305502	3
Yale-TB023	Rv1305	1460997	1461291	0
Yale-TB023	Rv1483	1673409	1675012	1
Yale-TB023	Rv1694	1917939	1918747	0
Yale-TB023	Rv1908c	2153888	2156112	0
Yale-TB023	Rv2043c	2288676	2289272	0
Yale-TB023	Rv2416c	2714123	2715372	0
Yale-TB023	Rv2428	2726093	2726194	0
Yale-TB023	Rv2535c	2859299	2860451	0
Yale-TB023	Rv2983	3339068	3339763	0
Yale-TB023	Rv3261	3640493	3642882	0
Yale-TB023	Rv3547	3986794	3987300	0
Yale-TB023	Rv3795	4246586	4249653	0
Yale-TB023	Rv3854c	4326003	4327548	0
Yale-TB024	MTB000019	1473245	1473331	0
Yale-TB024	MTB000020	1473657	1476796	2
Yale-TB024	Rv0005	6571	6762	0
Yale-TB024	Rv0006	7360	7583	0
Yale-TB024	Rv0407	490733	491794	0
Yale-TB024	Rv0667	760307	761286	0
Yale-TB024	Rv0676c	775585	778906	0
Yale-TB024	Rv0678	778906	779488	0
Yale-TB024	Rv0701	800793	801462	0
Yale-TB024	Rv1173	1302805	1305502	0
Yale-TB024	Rv1305	1460997	1461291	0
Yale-TB024	Rv1483	1673409	1675012	0
Yale-TB024	Rv1694	1917939	1918747	0
Yale-TB024	Rv1908c	2153888	2156112	0
Yale-TB024	Rv2043c	2288676	2289272	0
Yale-TB024	Rv2416c	2714123	2715372	0
Yale-TB024	Rv2428	2726093	2726194	0
Yale-TB024	Rv2535c	2859299	2860451	0
Yale-TB024	Rv2983	3339068	3339763	0
Yale-TB024	Rv3261	3640493	3642882	0
Yale-TB024	Rv3547	3986794	3987300	0
Yale-TB024	Rv3795	4246586	4249653	0
Yale-TB024	Rv3854c	4326003	4327548	0
Yale-TB025	MTB000019	1473245	1473331	0
Yale-TB025	MTB000020	1473657	1476796	1
Yale-TB025	Rv0005	6571	6762	0
Yale-TB025	Rv0006	7360	7583	0
Yale-TB025	Rv0407	490733	491794	0
Yale-TB025	Rv0667	760307	761286	0
Yale-TB025	Rv0676c	775585	778906	0
Yale-TB025	Rv0678	778906	779488	0
Yale-TB025	Rv0701	800793	801462	0
Yale-TB025	Rv1173	1302805	1305502	0
Yale-TB025	Rv1305	1460997	1461291	0
Yale-TB025	Rv1483	1673409	1675012	0
Yale-TB025	Rv1694	1917939	1918747	0
Yale-TB025	Rv1908c	2153888	2156112	0
Yale-TB025	Rv2043c	2288676	2289272	0
Yale-TB025	Rv2416c	2714123	2715372	0
Yale-TB025	Rv2428	2726093	2726194	0
Yale-TB025	Rv2535c	2859299	2860451	0
Yale-TB025	Rv2983	3339068	3339763	0
Yale-TB025	Rv3261	3640493	3642882	0
Yale-TB025	Rv3547	3986794	3987300	0
Yale-TB025	Rv3795	4246586	4249653	0
Yale-TB025	Rv3854c	4326003	4327548	0
Yale-TB026	MTB000019	1473245	1473331	34
Yale-TB026	MTB000020	1473657	1476796	1
Yale-TB026	Rv0005	6571	6762	0
Yale-TB026	Rv0006	7360	7583	0
Yale-TB026	Rv0407	490733	491794	0
Yale-TB026	Rv0667	760307	761286	0
Yale-TB026	Rv0676c	775585	778906	0
Yale-TB026	Rv0678	778906	779488	0
Yale-TB026	Rv0701	800793	801462	0
Yale-TB026	Rv1173	1302805	1305502	0
Yale-TB026	Rv1305	1460997	1461291	0
Yale-TB026	Rv1483	1673409	1675012	0
Yale-TB026	Rv1694	1917939	1918747	0
Yale-TB026	Rv1908c	2153888	2156112	0
Yale-TB026	Rv2043c	2288676	2289272	0
Yale-TB026	Rv2416c	2714123	2715372	0
Yale-TB026	Rv2428	2726093	2726194	0
Yale-TB026	Rv2535c	2859299	2860451	0
Yale-TB026	Rv2983	3339068	3339763	0
Yale-TB026	Rv3261	3640493	3642882	0
Yale-TB026	Rv3547	3986794	3987300	0
Yale-TB026	Rv3795	4246586	4249653	0
Yale-TB026	Rv3854c	4326003	4327548	0
Yale-TB027	MTB000019	1473245	1473331	81
Yale-TB027	MTB000020	1473657	1476796	42
Yale-TB027	Rv0005	6571	6762	36
Yale-TB027	Rv0006	7360	7583	843
Yale-TB027	Rv0407	490733	491794	176
Yale-TB027	Rv0667	760307	761286	912
Yale-TB027	Rv0676c	775585	778906	442
Yale-TB027	Rv0678	778906	779488	113
Yale-TB027	Rv0701	800793	801462	358
Yale-TB027	Rv1173	1302805	1305502	708
Yale-TB027	Rv1305	1460997	1461291	37
Yale-TB027	Rv1483	1673409	1675012	188
Yale-TB027	Rv1694	1917939	1918747	844
Yale-TB027	Rv1908c	2153888	2156112	197
Yale-TB027	Rv2043c	2288676	2289272	2427
Yale-TB027	Rv2416c	2714123	2715372	468
Yale-TB027	Rv2428	2726093	2726194	601
Yale-TB027	Rv2535c	2859299	2860451	131
Yale-TB027	Rv2983	3339068	3339763	855
Yale-TB027	Rv3261	3640493	3642882	191
Yale-TB027	Rv3547	3986794	3987300	809
Yale-TB027	Rv3795	4246586	4249653	285
Yale-TB027	Rv3854c	4326003	4327548	421
Yale-TB028	MTB000019	1473245	1473331	167
Yale-TB028	MTB000020	1473657	1476796	99
Yale-TB028	Rv0005	6571	6762	115
Yale-TB028	Rv0006	7360	7583	1025
Yale-TB028	Rv0407	490733	491794	1233
Yale-TB028	Rv0667	760307	761286	1341
Yale-TB028	Rv0676c	775585	778906	663
Yale-TB028	Rv0678	778906	779488	122
Yale-TB028	Rv0701	800793	801462	289
Yale-TB028	Rv1173	1302805	1305502	1839
Yale-TB028	Rv1305	1460997	1461291	131
Yale-TB028	Rv1483	1673409	1675012	628
Yale-TB028	Rv1694	1917939	1918747	882
Yale-TB028	Rv1908c	2153888	2156112	276
Yale-TB028	Rv2043c	2288676	2289272	2062
Yale-TB028	Rv2416c	2714123	2715372	399
Yale-TB028	Rv2428	2726093	2726194	547
Yale-TB028	Rv2535c	2859299	2860451	201
Yale-TB028	Rv2983	3339068	3339763	687
Yale-TB028	Rv3261	3640493	3642882	347
Yale-TB028	Rv3547	3986794	3987300	594
Yale-TB028	Rv3795	4246586	4249653	720
Yale-TB028	Rv3854c	4326003	4327548	688
Yale-TB029	MTB000019	1473245	1473331	185
Yale-TB029	MTB000020	1473657	1476796	142
Yale-TB029	Rv0005	6571	6762	867
Yale-TB029	Rv0006	7360	7583	1924
Yale-TB029	Rv0407	490733	491794	1738
Yale-TB029	Rv0667	760307	761286	2053
Yale-TB029	Rv0676c	775585	778906	1257
Yale-TB029	Rv0678	778906	779488	244
Yale-TB029	Rv0701	800793	801462	453
Yale-TB029	Rv1173	1302805	1305502	2214
Yale-TB029	Rv1305	1460997	1461291	198
Yale-TB029	Rv1483	1673409	1675012	748
Yale-TB029	Rv1694	1917939	1918747	970
Yale-TB029	Rv1908c	2153888	2156112	340
